TYPE,NAME,DESC,SAMPLE_ID,VISIBLE_ID,LATITUDE,LONGITUDE,TOWN,LGA,STATE,COUNTRY
T,NULL,NULL,,,6.47456249415815,3.8979218818472683,NULL,Ibeju Lekki,Lagos,Nigeria
T,NULL,NULL,637211754,277,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.321934153193922,8.124675895445735,NULL,Biase,Cross River,Nigeria
T,NULL,NULL,637211574,97,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.114976034106917,5.6779319568532625,NULL,Yagba East,Kogi,Nigeria
T,NULL,NULL,637211733,256,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.6547599661836045,7.555233584574854,NULL,Bende,Abia,Nigeria
T,NULL,NULL,637211552,75,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.92471285711288,7.9225525700887856,NULL,Agatu,Benue,Nigeria
T,NULL,NULL,637211671,194,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.813505999084953,7.186831315912259,NULL,Kwali,Federal Capital Territory,Nigeria
T,NULL,NULL,637211970,493,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.980942820142374,4.130225742283383,NULL,Ijebu North,Ogun,Nigeria
T,NULL,NULL,637211895,418,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.753314301118209,5.645323510833274,NULL,Ekiti East,Ekiti,Nigeria
T,NULL,NULL,637211949,472,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.609673687122736,3.9456213150940296,NULL,Akinyele,Oyo,Nigeria
T,NULL,NULL,637211934,457,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.686924227151522,5.953895878506785,NULL,Uhunmwonde,Edo,Nigeria
T,NULL,NULL,637211706,229,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.394697691191695,7.924171869705025,NULL,Arochukwu,Abia,Nigeria
T,NULL,NULL,637211531,54,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.989661052110833,6.196709174224664,NULL,Kabba/Bunu,Kogi,Nigeria
T,NULL,NULL,637211570,93,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.645435784058733,5.162117423177076,NULL,Mashegu,Niger,Nigeria
T,NULL,NULL,637211490,13,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.943766290049268,7.3215771254469875,Dokwa,Kachia,Kaduna,Nigeria
T,NULL,NULL,637211601,124,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.040865024109237,5.41059341214128,NULL,Ikole,Ekiti,Nigeria
T,NULL,NULL,637211854,377,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.4686336131583175,6.369995717153634,NULL,Esan South-East,Edo,Nigeria
T,NULL,NULL,637211727,250,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.992355998110739,6.185659893229666,NULL,Kabba/Bunu,Kogi,Nigeria
T,NULL,NULL,637211827,350,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.56322621315536,4.956766026900496,NULL,NULL,Ondo,Nigeria
T,NULL,NULL,637211510,33,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.858228378177287,6.018305802951334,NULL,Orhionmwon,Edo,Nigeria
T,NULL,NULL,637211875,398,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.139675131137423,10.433973429979151,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211819,342,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.285471701132863,3.784194394174239,NULL,Oluyole,Oyo,Nigeria
T,NULL,NULL,637211714,237,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,10.247486687039654,8.068076695833048,Ikulu,Zangon Kataf,Kaduna,Nigeria
T,NULL,NULL,637211641,164,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.289514120132722,5.992163527088472,NULL,Akoko-Edo,Edo,Nigeria
T,NULL,NULL,637211588,111,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.954801845143166,6.133648514516568,NULL,Owan East,Edo,Nigeria
T,NULL,NULL,637211965,488,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.141736681168496,5.4814723550519515,NULL,Oredo,Edo,Nigeria
T,NULL,NULL,637211617,140,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.307111951194386,5.832624458302158,NULL,Ughelli South,Delta,Nigeria
T,NULL,NULL,637211853,376,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.170936502136442,10.430739463970763,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211795,318,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.45184426609633,11.384748905304523,NULL,Bali,Taraba,Nigeria
T,NULL,NULL,637211652,175,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.136346790168659,5.469614597623156,NULL,Ovia North-East,Edo,Nigeria
T,NULL,NULL,637211712,235,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.003944265110377,5.40035265833928,NULL,Oye,Ekiti,Nigeria
T,NULL,NULL,637211971,494,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.059635239139894,5.5644758487379535,Ọ̀wọ̀,NULL,Ondo,Nigeria
T,NULL,NULL,637211661,184,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.091799500107626,5.407898408984556,NULL,Ikole,Ekiti,Nigeria
T,NULL,NULL,637211770,293,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.273155633195444,8.245409505057477,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211482,5,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.963695166142912,5.37690771094297,NULL,Idanre,Ondo,Nigeria
T,NULL,NULL,637211524,47,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.50870762409454,5.282043956102553,NULL,Ifelodun,Kwara,Nigeria
T,NULL,NULL,637211651,174,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.250976394133943,10.502424943944789,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211830,353,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.35184805219302,8.667707462441953,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211820,343,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.128261952168913,5.512194748472294,NULL,Oredo,Edo,Nigeria
T,NULL,NULL,637211824,347,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.906292820144685,4.0509944060840635,NULL,Ijebu North East,Ogun,Nigeria
T,NULL,NULL,637211896,419,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.141211415074622,7.438269353009736,NULL,Municipal Area Council,Federal Capital Territory,Nigeria
T,NULL,NULL,637211846,369,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.426417369128444,11.1872105063421,NULL,Gashaka,Taraba,Nigeria
T,NULL,NULL,637211494,17,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.342698959099735,5.4316136449858785,NULL,Yagba West,Kogi,Nigeria
T,NULL,NULL,637211514,37,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.435230008065346,8.237859405026029,Jagindi,Jema'A,Kaduna,Nigeria
T,NULL,NULL,637211550,73,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.873508886114493,4.949757856318409,NULL,Ekiti West,Ekiti,Nigeria
T,NULL,NULL,637211786,309,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.076694081201538,8.68091289412306,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211499,22,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.990200042110814,5.220869280625747,NULL,Moba,Ekiti,Nigeria
T,NULL,NULL,637211587,110,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.645435784058733,5.162117423177076,NULL,Mashegu,Niger,Nigeria
T,NULL,NULL,637211490,13,NULL,NULL,NULL,NULL,NULL,NULL
